WorkerID,Device
TA5,touchpad
TA4,touchpad
AP21,touchpad
TA8,mouse
TA10,touchpad
TA13,touchpad
TA12,touchpad
TA11,mouse
TA14,mouse
TA7,touchpad
TA15,mouse
TA17,mouse
TA18,touchpad
TA21,touchpad
TA26,touchpad
TA24,mouse
TA29,mouse
TA28,mouse
TA31,touchpad
TA32,mouse
TA33,mouse
TA34,mouse
TA30,touchpad
TA27,mouse
TA5,mouse
TA5,mouse
TA38,touchpad
TA20,touchpad
TA41,mouse
TA40,mouse
TA45,touchpad
TA43,touchpad
TA46,touchpad
TA51,mouse
TA52,mouse
TA53,mouse
TA44,touchpad
TA54,touchpad
TA56,mouse
TA57,mouse
TA80,mouse
TA66,mouse
TA64,touchpad
ta73,touchpad
TA69,touchpad
TA63,touchpad
TA58,mouse
TA82,touchpad
TA83,touchpad
OA3,touchpad
OA4,mouse
OA6,mouse
OA5,mouse
OA7,mouse
OA8,mouse
OA15,touchpad
OA12,touchpad
OA14,touchpad
OA18,touchpad
OA23,touchpad
OA17,mouse
OA25,mouse
OA22,touchpad
OA27,mouse
OA19,touchpad
OA9,touchpad
OA20,mouse
OA29,mouse
OA31,other
OA30,mouse
OA33,mouse
OA32,mouse
OA28,mouse
OA37,mouse
OA38,mouse
OA36,mouse
OA24,other
OA42,other
OA41,mouse
OA45,touchpad
OA40,mouse
OA44,touchpad
OA56,mouse
OA53,mouse
OA57,mouse
OA50,mouse
OA58,touchpad
OA52,mouse
OA54,touchpad
OA48,mouse
OA61,touchpad
OA65,mouse
OA69,touchpad
OA66,mouse
OA67,mouse
OA68,touchpad
TC1,touchpad
TC2,touchpad
TC4,touchpad
TC3,mouse
TC9,mouse
TC8,mouse
TC7,touchpad
TC12,touchpad
TC11,touchpad
TC15,touchpad
TC16,mouse
TC6,touchpad
TC20,touchpad
TC22,mouse
TC21,touchpad
TC26,mouse
TC24,mouse
TC17,touchpad
TC30,touchpad
TC31,touchpad
TC32,touchpad
TC23,mouse
TC29,mouse
TC18,touchpad
TC43,mouse
TC44,touchpad
TC45,touchpad
TC46,mouse
TC48,touchpad
TC54,touchpad
TC49,touchpad
TC59,touchpad
TC41,touchpad
TC51,mouse
TC35,mouse
TC61,mouse
TC52,mouse
TC64,touchpad
TC65,mouse
TC50,mouse
TC53,mouse
TC62,mouse
TC55,mouse
TC56,mouse
TC37,touchpad
TC69,touchpad
TC68,mouse
TC67,touchpad
TC70,touchpad
TC71,mouse
TC66,touchpad
TC72,touchpad
OC2,touchpad
OC1,mouse
OC6,mouse
OC7,mouse
OC11,touchpad
OC13,touchpad
OC12,touchpad
OC14,touchpad
OC4,touchpad
OC15,mouse
OC3,touchpad
OC16,mouse
OC17,mouse
OC21,touchpad
OC26,touchpad
OC20,touchpad
OC5,touchpad
OC19,mouse
OC28,touchpad
OC25,touchpad
OC32,touchpad
OC30,touchpad
OC8,mouse
OC18,mouse
OC23,touchpad
OC29,touchpad
OC34,touchpad
OC38,touchpad
OC37,touchpad
OC22,touchpad
OC39,touchpad
OC39,touchpad
OC39,touchpad
OC39,touchpad
OC40,mouse
OC27,touchpad
