"WorkerID","TrialName","AgeCategory","Hands","TrialOrder","NPlacements","LastPlace","FirstPlace","SuccessByOnline","Success","AvgAbsYOffset","FirstYOffset","AvgAbsXOffset","FirstXOffset","AvgTimeDiff","TookABreak","Age","MedianMotorErr","MedianMotorRT","Gender","IQ_BPVS","IQ_Ravens","AttToCorCluster","AttInCorCluster","AttToFinCluster","AttInFinCluster","NClust_ToCor_Cluster","Transition"
"OC29","Bridge","kids","1h",10,2,25.123,7.426,TRUE,TRUE,60.0068391982272,72.7636783964543,1.55477945291568,3.10955890583136,17.697,FALSE,6.16,12.0940797111267,4.155,"Male",96,115,1,1,1,1,2,1
"OC29","Falling_A","kids","1h",11,2,30.786,16.183,TRUE,TRUE,157.25,182.75,0,0,14.603,FALSE,6.16,12.0940797111267,4.155,"Male",96,115,1,1,1,1,2,1
"OC29","Gap","kids","1h",1,3,90.608,42.029,TRUE,FALSE,61.720718853197,54.3820506819236,29.5317222286104,7.26402843043745,24.2895,FALSE,6.16,12.0940797111267,4.155,"Male",96,115,0,3,0,3,1,0
"OC29","SeeSaw","kids","1h",7,4,75.074,19.221,TRUE,TRUE,40.5,47.25,0,0,18.6176666666667,FALSE,6.16,12.0940797111267,4.155,"Male",96,115,0,4,0,4,1,0
"OC29","TableCreative","kids","1h",4,3,81.555,25.042,TRUE,TRUE,39.1666666666667,63.75,15.75,0,28.2565,FALSE,6.16,12.0940797111267,4.155,"Male",96,115,2,1,2,1,3,1
"OC29","Unbox","kids","1h",15,1,17.333,17.333,TRUE,TRUE,0,0,0.25,0.25,NA,FALSE,6.16,12.0940797111267,4.155,"Male",96,115,0,1,0,1,1,0
"OA12","Balance","adult","1h",4,8,115.507,8.13,TRUE,TRUE,73.4843049003336,95,12.4048428717104,0,15.3395714285714,FALSE,37,3.15527999219579,2.334,"Male",NA,NA,0,3,6,2,6,0.857142857142857
"OA12","BalanceUnder","adult","1h",12,1,9.383,9.383,TRUE,TRUE,53,53,0,0,NA,FALSE,37,3.15527999219579,2.334,"Male",NA,NA,0,1,0,1,1,0
"OA12","Basic","adult","1h",15,3,33.267,8.399,TRUE,TRUE,162.577692526338,36.3932199913643,86.0169577895261,206.228246617731,12.434,FALSE,37,3.15527999219579,2.334,"Male",NA,NA,1,2,1,2,3,0.5
"OA12","Bridge","adult","1h",10,1,8.694,8.694,TRUE,TRUE,50,50,1,1,NA,FALSE,37,3.15527999219579,2.334,"Male",NA,NA,0,1,0,1,1,0
"OA12","Catapult","adult","1h",11,1,6.504,6.504,TRUE,TRUE,383,383,9,9,NA,FALSE,37,3.15527999219579,2.334,"Male",NA,NA,0,1,0,1,1,0
"OA12","FallAlt","adult","1h",7,5,57.427,10.253,TRUE,TRUE,52.6800003051758,56,0,0,11.7935,FALSE,37,3.15527999219579,2.334,"Male",NA,NA,0,5,0,5,1,0
"OA12","Falling_A","adult","1h",13,1,9.199,9.199,TRUE,TRUE,45,45,0,0,NA,FALSE,37,3.15527999219579,2.334,"Male",NA,NA,0,1,0,1,1,0
